id;type;size_max_gpu;size_max_ventirad;size_max_psu;hard_drive_slots;front_panel_outputs;fan_included;fan_slots_available;watercooling_compatibility;height;width;length;name;price;discount;stock;img;jhi_desc;brand;is_active
1;MOYENNE;295;160;140;2x 3.5 + 4x 2.5 + 1x 5.25;1 x USB 3.0 + 2 x USB 2.0 + 1 x prise micro;Arrière: 1x120mm;Facade + Latéral;Facade 240mm + Arriere 120mm;200;423;295;T8;70;1;100;https://monmegabucketconfigme.s3.eu-central-1.amazonaws.com/1_T8.jpg;Boitier moyen tour;Zalman;true
2;PETITE;318;166;140;1x 3.5 + 4x 2.5;1 x USB 3.0 + 1 x prise micro + 1 x prise casque;-;Latéral (2x120);Facade 240mm;490;203;405;ZC01M;60;1;100;https://monmegabucketconfigme.s3.eu-central-1.amazonaws.com/2_ZC01M.jpg;Boitier mini tour;Zeaginal;true
3;GRANDE;323;185;285;2x 3.5 + 4x 2.5 + 1x 5.25;2 x USB 3.0 + 2 x USB 2.0 + 1 x prise micro;Facade: 2x240mm + Arrière: 1x140mm;Facade + Haut + Bas;Facade + Haut + Bas;243;585;577;Dark Base pro 900;219;1;100;https://monmegabucketconfigme.s3.eu-central-1.amazonaws.com/3_DARK_BASE_PRO_900.jpg;Boitier grand tour;Be Quiet!;true
4;GRANDE;383;189;240;2x 3.5 + 4x 2.5 + 1x 5.25;2 x USB 3.0 + 2 x USB 2.0 + 1 x prise micro;Facade: 2x240mm + Arrière: 1x140mm;Facade + Haut + Bas;Facade + Haut + Bas;473;566;249;Tor Pro RGB;119;1;100;https://monmegabucketconfigme.s3.eu-central-1.amazonaws.com/4_TOR_PRO_RGB.jpg;Boitier grand tour;Aerocool;true
5;MOYENNE;320;164;140;2x 3.5 + 4x 2.5 + 1x 5.25;1 x USB 3.0 + 2 x USB 2.0 + 1 x prise micro;Facade: 1x120mm + Arrière: 1x120mm;Facade + Haut + Bas;none;491;426;190;N300;100;1;100;https://monmegabucketconfigme.s3.eu-central-1.amazonaws.com/5_N300.jpg;Boitier moyen tour;Cooler Master;true
6;MOYENNE;295;160;140;2x 3.5 + 4x 2.5 + 1x 5.25;1 x USB 3.0 + 2 x USB 2.0 + 1 x prise micro;Arrière: 1x120mm;Facade + Latéral;Facade 240mm + Arriere 120mm;200;423;295;T8_B;70;1;100;https://monmegabucketconfigme.s3.eu-central-1.amazonaws.com/1_T8.jpg;Boitier moyen tour;Zalman;true
7;PETITE;318;166;140;1x 3.5 + 4x 2.5;1 x USB 3.0 + 1 x prise micro + 1 x prise casque;-;Latéral (2x120);Facade 240mm;490;203;405;ZC01M_B;60;1;100;https://monmegabucketconfigme.s3.eu-central-1.amazonaws.com/2_ZC01M.jpg;Boitier mini tour;Zeaginal;true
8;GRANDE;323;185;285;2x 3.5 + 4x 2.5 + 1x 5.25;2 x USB 3.0 + 2 x USB 2.0 + 1 x prise micro;Facade: 2x240mm + Arrière: 1x140mm;Facade + Haut + Bas;Facade + Haut + Bas;243;585;577;Dark Base pro 900_B;219;1;100;https://monmegabucketconfigme.s3.eu-central-1.amazonaws.com/3_DARK_BASE_PRO_900.jpg;Boitier grand tour;Be Quiet!;true
9;GRANDE;383;189;240;2x 3.5 + 4x 2.5 + 1x 5.25;2 x USB 3.0 + 2 x USB 2.0 + 1 x prise micro;Facade: 2x240mm + Arrière: 1x140mm;Facade + Haut + Bas;Facade + Haut + Bas;473;566;249;Tor Pro RGB_B;119;1;100;https://monmegabucketconfigme.s3.eu-central-1.amazonaws.com/4_TOR_PRO_RGB.jpg;Boitier grand tour;Aerocool;true
10;MOYENNE;320;164;140;2x 3.5 + 4x 2.5 + 1x 5.25;1 x USB 3.0 + 2 x USB 2.0 + 1 x prise micro;Facade: 1x120mm + Arrière: 1x120mm;Facade + Haut + Bas;none;491;426;190;N300_B;100;1;100;https://monmegabucketconfigme.s3.eu-central-1.amazonaws.com/5_N300.jpg;Boitier moyen tour;Cooler Master;true
